Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,CompetitionOpenSince,StoreType_a,StoreType_b,StoreType_c,StoreType_d,Assortment_a,Assortment_b,Assortment_c
97,d,c,8980.0,12.0,2012.0,0,,,,2012-12-01,0,0,0,1,0,0,1
98,d,c,15140.0,12.0,2006.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",2006-12-01,0,0,0,1,0,0,1
99,c,c,2030.0,11.0,2003.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",2003-11-01,0,0,1,0,0,0,1
100,d,a,17930.0,12.0,2012.0,0,,,,2012-12-01,0,0,0,1,1,0,0
101,d,c,2440.0,12.0,2012.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",2012-12-01,0,0,0,1,0,0,1
102,a,a,150.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2007-12-01,1,0,0,0,1,0,0
103,d,c,5210.0,5.0,2015.0,0,,,,2015-05-01,0,0,0,1,0,0,1
104,a,a,390.0,6.0,2009.0,0,,,,2009-06-01,1,0,0,0,1,0,0
105,a,c,6190.0,12.0,2012.0,1,23.0,2013.0,"Mar,Jun,Sept,Dec",2012-12-01,1,0,0,0,0,0,1
106,a,a,1390.0,8.0,2013.0,0,,,,2013-08-01,1,0,0,0,1,0,0
107,a,a,1930.0,9.0,2009.0,0,,,,2009-09-01,1,0,0,0,1,0,0
108,d,c,2190.0,9.0,2003.0,0,,,,2003-09-01,0,0,0,1,0,0,1
109,a,c,3300.0,11.0,2010.0,0,,,,2010-11-01,1,0,0,0,0,0,1
110,a,c,46590.0,4.0,2013.0,0,,,,2013-04-01,1,0,0,0,0,0,1
111,d,c,7890.0,12.0,2012.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2012-12-01,0,0,0,1,0,0,1
112,a,a,1630.0,9.0,2009.0,0,,,,2009-09-01,1,0,0,0,1,0,0
113,d,c,20930.0,11.0,1999.0,0,,,,1999-11-01,0,0,0,1,0,0,1
114,c,a,4510.0,12.0,2012.0,1,48.0,2011.0,"Mar,Jun,Sept,Dec",2012-12-01,0,0,1,0,1,0,0
115,d,c,5740.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2007-04-01,0,0,0,1,0,0,1
116,a,a,680.0,4.0,2013.0,0,,,,2013-04-01,1,0,0,0,1,0,0
117,a,a,3450.0,9.0,2011.0,0,,,,2011-09-01,1,0,0,0,1,0,0
118,d,c,3580.0,9.0,2012.0,0,,,,2012-09-01,0,0,0,1,0,0,1
119,a,c,2100.0,2.0,2010.0,0,,,,2010-02-01,1,0,0,0,0,0,1
120,d,a,2290.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2014-12-01,0,0,0,1,1,0,0
121,a,a,3570.0,11.0,2009.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec",2009-11-01,1,0,0,0,1,0,0
122,a,c,58260.0,4.0,2013.0,0,,,,2013-04-01,1,0,0,0,0,0,1
123,a,a,16760.0,9.0,2011.0,0,,,,2011-09-01,1,0,0,0,1,0,0
124,a,a,1410.0,4.0,2003.0,0,,,,2003-04-01,1,0,0,0,1,0,0
125,a,a,760.0,12.0,2005.0,0,,,,2005-12-01,1,0,0,0,1,0,0
126,d,a,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov",2014-10-01,0,0,0,1,1,0,0
127,d,a,1350.0,12.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2005-12-01,0,0,0,1,1,0,0
128,d,c,2000.0,12.0,2012.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",2012-12-01,0,0,0,1,0,0,1
129,a,a,2460.0,12.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2012-12-01,1,0,0,0,1,0,0
130,c,a,900.0,12.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2012-12-01,0,0,1,0,1,0,0
131,c,a,920.0,7.0,2015.0,0,,,,2015-07-01,0,0,1,0,1,0,0
132,d,c,1040.0,12.0,2012.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct",2012-12-01,0,0,0,1,0,0,1
133,a,a,270.0,8.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2013-08-01,1,0,0,0,1,0,0
134,a,a,1200.0,9.0,2008.0,0,,,,2008-09-01,1,0,0,0,1,0,0
135,d,a,5190.0,12.0,2012.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",2012-12-01,0,0,0,1,1,0,0
136,a,c,2200.0,12.0,2010.0,1,22.0,2012.0,"Feb,May,Aug,Nov",2010-12-01,1,0,0,0,0,0,1
137,a,a,1730.0,7.0,2015.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015-07-01,1,0,0,0,1,0,0
138,a,c,25360.0,10.0,2014.0,0,,,,2014-10-01,1,0,0,0,0,0,1
139,a,a,1700.0,1.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2008-01-01,1,0,0,0,1,0,0
140,a,c,1090.0,7.0,2010.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",2010-07-01,1,0,0,0,0,0,1
141,c,c,1540.0,12.0,2012.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",2012-12-01,0,0,1,0,0,0,1
142,a,a,1090.0,7.0,2002.0,0,,,,2002-07-01,1,0,0,0,1,0,0
143,d,a,2930.0,12.0,2002.0,0,,,,2002-12-01,0,0,0,1,1,0,0
144,a,c,16570.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,0,0,1
145,a,a,280.0,12.0,2012.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2012-12-01,1,0,0,0,1,0,0
146,d,c,8050.0,10.0,1961.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct",1961-10-01,0,0,0,1,0,0,1
147,d,c,8540.0,12.0,2012.0,0,,,,2012-12-01,0,0,0,1,0,0,1
148,a,a,2090.0,12.0,2008.0,0,,,,2008-12-01,1,0,0,0,1,0,0
149,d,a,2610.0,7.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2006-07-01,0,0,0,1,1,0,0
150,c,c,31830.0,3.0,2010.0,0,,,,2010-03-01,0,0,1,0,0,0,1
151,d,c,4360.0,10.0,2005.0,0,,,,2005-10-01,0,0,0,1,0,0,1
152,a,a,1780.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,1,0,0
153,a,a,16240.0,10.0,2000.0,1,18.0,2011.0,"Feb,May,Aug,Nov",2000-10-01,1,0,0,0,1,0,0
154,d,c,16420.0,12.0,2012.0,0,,,,2012-12-01,0,0,0,1,0,0,1
155,d,a,3050.0,12.0,2012.0,1,35.0,2010.0,"Jan,Apr,Jul,Oct",2012-12-01,0,0,0,1,1,0,0
156,a,a,2020.0,2.0,2011.0,1,14.0,2011.0,"Mar,Jun,Sept,Dec",2011-02-01,1,0,0,0,1,0,0
157,a,c,2950.0,10.0,2004.0,0,,,,2004-10-01,1,0,0,0,0,0,1
158,d,c,11840.0,12.0,2012.0,1,31.0,2009.0,"Feb,May,Aug,Nov",2012-12-01,0,0,0,1,0,0,1
159,d,a,8530.0,3.0,2013.0,0,,,,2013-03-01,0,0,0,1,1,0,0
160,d,c,17110.0,11.0,2005.0,0,,,,2005-11-01,0,0,0,1,0,0,1
161,a,c,2970.0,3.0,2005.0,0,,,,2005-03-01,1,0,0,0,0,0,1
162,d,c,5340.0,3.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2012-03-01,0,0,0,1,0,0,1
163,a,a,1480.0,4.0,2009.0,0,,,,2009-04-01,1,0,0,0,1,0,0
164,a,a,1160.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2005-09-01,1,0,0,0,1,0,0
165,a,a,3720.0,4.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2005-04-01,1,0,0,0,1,0,0
166,a,c,100.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2014-04-01,1,0,0,0,0,0,1
167,a,a,140.0,4.0,2008.0,0,,,,2008-04-01,1,0,0,0,1,0,0
168,a,a,12540.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,1,0,0
169,d,a,980.0,7.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov",2014-07-01,0,0,0,1,1,0,0
170,a,a,1070.0,5.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015-05-01,1,0,0,0,1,0,0
171,a,a,2640.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,1,0,0
172,a,a,110.0,12.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2012-12-01,1,0,0,0,1,0,0
173,a,a,350.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,1,0,0
174,a,a,13090.0,12.0,2012.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",2012-12-01,1,0,0,0,1,0,0
175,c,a,4130.0,12.0,2012.0,0,,,,2012-12-01,0,0,1,0,1,0,0
176,a,a,3770.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,1,0,0
177,a,a,1250.0,2.0,2004.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2004-02-01,1,0,0,0,1,0,0
178,d,a,1710.0,12.0,2012.0,0,,,,2012-12-01,0,0,0,1,1,0,0
179,a,c,480.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,0,0,1
180,d,a,5800.0,9.0,2010.0,0,,,,2010-09-01,0,0,0,1,1,0,0
181,a,a,12610.0,3.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2013-03-01,1,0,0,0,1,0,0
182,d,c,1390.0,12.0,2012.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec",2012-12-01,0,0,0,1,0,0,1
183,a,a,9670.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,1,0,0
184,d,c,3560.0,12.0,2012.0,0,,,,2012-12-01,0,0,0,1,0,0,1
185,d,c,1860.0,5.0,2015.0,0,,,,2015-05-01,0,0,0,1,0,0,1
186,a,a,290.0,10.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2011-10-01,1,0,0,0,1,0,0
187,a,c,19360.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,0,0,1
188,d,a,850.0,12.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov",2012-12-01,0,0,0,1,1,0,0
189,d,a,5760.0,7.0,2014.0,0,,,,2014-07-01,0,0,0,1,1,0,0
190,a,a,1470.0,12.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2006-12-01,1,0,0,0,1,0,0
191,a,a,1100.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2013-08-01,1,0,0,0,1,0,0
192,d,c,2770.0,3.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2008-03-01,0,0,0,1,0,0,1
193,a,a,520.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,1,0,0
194,d,c,16970.0,12.0,2012.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2012-12-01,0,0,0,1,0,0,1
195,a,c,220.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,0,0,1
196,c,a,3850.0,11.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2005-11-01,0,0,1,0,1,0,0
197,c,a,4210.0,3.0,2015.0,0,,,,2015-03-01,0,0,1,0,1,0,0
198,a,a,290.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2002-09-01,1,0,0,0,1,0,0
199,d,c,6360.0,12.0,2010.0,1,14.0,2012.0,"Mar,Jun,Sept,Dec",2010-12-01,0,0,0,1,0,0,1
200,a,a,1650.0,10.0,2000.0,0,,,,2000-10-01,1,0,0,0,1,0,0
201,d,a,20260.0,12.0,2012.0,1,18.0,2014.0,"Mar,Jun,Sept,Dec",2012-12-01,0,0,0,1,1,0,0
202,d,c,5140.0,5.0,2010.0,0,,,,2010-05-01,0,0,0,1,0,0,1
203,c,c,490.0,11.0,2002.0,0,,,,2002-11-01,0,0,1,0,0,0,1
204,a,a,5630.0,12.0,2002.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2002-12-01,1,0,0,0,1,0,0
205,a,a,110.0,12.0,2007.0,0,,,,2007-12-01,1,0,0,0,1,0,0
206,a,c,380.0,12.0,2012.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct",2012-12-01,1,0,0,0,0,0,1
207,a,a,6870.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,1,0,0
208,c,a,300.0,4.0,2006.0,0,,,,2006-04-01,0,0,1,0,1,0,0
209,a,c,11680.0,9.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2011-09-01,1,0,0,0,0,0,1
210,d,a,970.0,11.0,1999.0,1,5.0,2013.0,"Feb,May,Aug,Nov",1999-11-01,0,0,0,1,1,0,0
211,a,c,350.0,11.0,2006.0,0,,,,2006-11-01,1,0,0,0,0,0,1
212,a,c,15050.0,9.0,2008.0,0,,,,2008-09-01,1,0,0,0,0,0,1
213,d,c,4030.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct",2014-03-01,0,0,0,1,0,0,1
214,d,a,8650.0,7.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",2013-07-01,0,0,0,1,1,0,0
215,d,a,150.0,12.0,2012.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2012-12-01,0,0,0,1,1,0,0
216,c,a,190.0,12.0,2012.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2012-12-01,0,0,1,0,1,0,0
217,c,a,3150.0,12.0,2012.0,0,,,,2012-12-01,0,0,1,0,1,0,0
218,a,c,640.0,12.0,2012.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec",2012-12-01,1,0,0,0,0,0,1
219,a,a,1640.0,2.0,2013.0,0,,,,2013-02-01,1,0,0,0,1,0,0
220,a,a,1000.0,9.0,2008.0,0,,,,2008-09-01,1,0,0,0,1,0,0
221,d,c,13530.0,9.0,2013.0,0,,,,2013-09-01,0,0,0,1,0,0,1
222,a,a,2170.0,11.0,2008.0,0,,,,2008-11-01,1,0,0,0,1,0,0
223,d,c,2920.0,10.0,1995.0,1,27.0,2011.0,"Jan,Apr,Jul,Oct",1995-10-01,0,0,0,1,0,0,1
224,d,c,7930.0,12.0,2012.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",2012-12-01,0,0,0,1,0,0,1
225,d,a,10180.0,5.0,2015.0,0,,,,2015-05-01,0,0,0,1,1,0,0
226,a,a,450.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,1,0,0
227,a,a,2370.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,1,0,0
228,d,c,10800.0,12.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov",2012-12-01,0,0,0,1,0,0,1
229,d,c,17410.0,4.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2007-04-01,0,0,0,1,0,0,1
230,d,c,6680.0,9.0,2013.0,0,,,,2013-09-01,0,0,0,1,0,0,1
231,d,c,3840.0,10.0,2008.0,1,39.0,2010.0,"Feb,May,Aug,Nov",2008-10-01,0,0,0,1,0,0,1
232,c,c,13570.0,5.0,2010.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec",2010-05-01,0,0,1,0,0,0,1
233,a,a,1890.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,1,0,0
234,d,a,4370.0,12.0,2012.0,0,,,,2012-12-01,0,0,0,1,1,0,0
235,a,a,5710.0,3.0,2012.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2012-03-01,1,0,0,0,1,0,0
236,a,a,1000.0,11.0,2007.0,0,,,,2007-11-01,1,0,0,0,1,0,0
237,a,a,1420.0,11.0,2007.0,0,,,,2007-11-01,1,0,0,0,1,0,0
238,a,a,320.0,12.0,2012.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2012-12-01,1,0,0,0,1,0,0
239,d,c,610.0,12.0,2012.0,0,,,,2012-12-01,0,0,0,1,0,0,1
240,a,a,1110.0,5.0,2009.0,0,,,,2009-05-01,1,0,0,0,1,0,0
